ORDERNUMBER,ORDERLINENUMBER,DATE_ID,PRODUCT_ID,CUSTOMER_ID,QUANTITYORDERED,PRICEEACH,SALES,STATUS,DEALSIZE
10357,10,49,2,40,32,100.0,5691.84,Shipped,Medium
10369,2,50,2,42,41,100.0,4514.92,Shipped,Medium
10381,3,51,2,5,36,100.0,8254.8,Shipped,Large
10391,4,52,2,43,24,100.0,2416.56,Shipped,Small
10411,9,53,2,44,23,100.0,4140.23,Shipped,Medium
10424,6,54,2,24,50,100.0,12001.0,In Process,Large
10107,5,1,3,1,39,99.91,3896.49,Shipped,Medium
10120,3,55,3,11,29,96.34,2793.86,Shipped,Small
10134,5,3,3,3,27,100.0,3307.77,Shipped,Medium
10145,9,4,3,4,37,100.0,5192.95,Shipped,Medium
10159,17,5,3,5,37,100.0,5016.83,Shipped,Medium
10168,4,6,3,6,27,100.0,3660.93,Shipped,Medium
10180,12,7,3,7,42,100.0,4695.6,Shipped,Medium
10188,4,8,3,8,38,96.34,3660.92,Shipped,Medium
10201,5,9,3,9,24,100.0,3025.92,Shipped,Medium
10210,2,56,3,45,23,100.0,3009.09,Shipped,Medium
10223,4,11,3,11,47,100.0,5422.39,Shipped,Medium
10236,1,57,3,46,22,100.0,2852.08,Shipped,Small
10251,5,13,3,13,44,100.0,5756.52,Shipped,Medium
10263,5,14,3,14,40,100.0,4472.0,Shipped,Medium
10275,4,15,3,15,22,100.0,2904.44,Shipped,Small
10285,9,16,3,16,47,100.0,6484.59,Shipped,Medium
10298,1,58,3,47,39,96.34,3757.26,Shipped,Medium
10308,2,18,3,48,34,100.0,4043.96,Shipped,Medium
10318,4,19,3,19,45,100.0,5566.5,Shipped,Medium
10329,2,20,3,1,20,100.0,3176.0,Shipped,Medium
10339,4,59,3,36,40,68.92,2756.8,Shipped,Small
10361,8,22,3,21,26,51.15,1329.9,Shipped,Small
10374,5,60,3,29,39,100.0,5288.01,Shipped,Medium
10388,5,24,3,22,50,44.51,2225.5,Shipped,Small
10402,1,61,3,10,45,100.0,5833.8,Shipped,Medium
10417,5,26,3,24,45,100.0,5887.35,Disputed,Medium
10107,4,1,4,1,27,100.0,6065.55,Shipped,Medium
10120,2,55,4,11,46,100.0,9264.86,Shipped,Large
10134,4,3,4,3,31,100.0,7023.98,Shipped,Large
10145,8,4,4,4,33,100.0,5176.38,Shipped,Medium
10159,16,5,4,5,22,100.0,4132.7,Shipped,Medium
10168,3,6,4,6,20,100.0,4183.0,Shipped,Medium
10180,11,7,4,7,41,100.0,8892.9,Shipped,Large
10188,3,8,4,8,45,100.0,8714.7,Shipped,Large
10201,4,9,4,9,49,100.0,8065.89,Shipped,Large
10210,1,56,4,45,34,100.0,6123.4,Shipped,Medium
10223,3,11,4,11,49,100.0,9774.03,Shipped,Large
10237,9,12,4,12,39,100.0,7023.9,Shipped,Large
10251,4,13,4,13,43,100.0,7078.23,Shipped,Large
10263,4,14,4,14,41,100.0,8336.94,Shipped,Large
10275,3,15,4,15,36,100.0,6901.92,Shipped,Medium
10285,8,16,4,16,27,100.0,5438.07,Shipped,Medium
10299,11,17,4,17,29,100.0,6683.34,Shipped,Medium
10308,1,18,4,48,20,100.0,4570.4,Shipped,Medium
10318,3,19,4,19,37,100.0,7667.14,Shipped,Large
10329,3,20,4,1,26,100.0,5868.2,Shipped,Medium
10339,3,59,4,36,39,76.67,2990.13,Shipped,Small
10362,4,62,4,6,22,100.0,3664.1,Shipped,Medium
10374,1,60,4,29,22,100.0,3834.38,Shipped,Medium
10388,7,24,4,22,21,86.77,1822.17,Shipped,Small
10403,9,25,4,23,66,100.0,11886.6,Shipped,Large
10417,4,26,4,24,56,100.0,9218.16,Disputed,Large
10105,2,63,5,49,50,100.0,7208.0,Shipped,Large
10119,11,64,5,20,46,100.0,5004.8,Shipped,Medium
10129,2,65,5,50,33,100.0,4398.24,Shipped,Medium
10143,15,66,5,51,49,100.0,5597.76,Shipped,Medium
10155,13,67,5,17,32,100.0,4526.08,Shipped,Medium
10167,9,68,5,38,44,100.0,5924.16,Cancelled,Medium
10178,12,69,5,52,24,100.0,3492.48,Shipped,Medium
10186,9,70,5,53,26,100.0,3854.24,Shipped,Medium
10197,6,71,5,54,45,100.0,5324.4,Shipped,Medium
10209,8,72,5,55,39,100.0,5197.92,Shipped,Medium
10222,12,73,5,56,49,100.0,5997.6,Shipped,Medium
10248,3,74,5,1,20,100.0,2910.4,Cancelled,Small
10261,1,75,5,44,27,100.0,3378.24,Shipped,Medium
10273,4,76,5,57,30,100.0,3508.8,Shipped,Medium
10283,6,77,5,58,25,100.0,2992.0,Shipped,Small
10295,1,78,5,59,24,100.0,3427.2,Shipped,Medium
10307,9,79,5,30,22,100.0,2692.8,Shipped,Small
10316,17,80,5,60,33,100.0,4128.96,Shipped,Medium
10325,6,81,5,18,47,64.93,3051.71,Shipped,Medium
10337,8,82,5,28,25,48.05,1201.25,Shipped,Small
10350,5,83,5,24,26,75.47,1962.22,Shipped,Small
10359,6,84,5,2,48,54.68,2624.64,Shipped,Small
10373,3,85,5,61,39,100.0,4046.25,Shipped,Medium
10384,4,86,5,5,34,100.0,4846.7,Shipped,Medium
10395,2,87,5,3,32,100.0,3370.56,Shipped,Medium
10400,9,88,5,62,64,100.0,9661.44,Shipped,Large
10414,3,89,5,59,19,100.0,2764.88,On Hold,Small
10103,4,27,6,18,42,100.0,5398.26,Shipped,Medium
10114,8,90,6,63,31,100.0,4305.28,Shipped,Medium
10126,4,29,6,26,22,100.0,3347.74,Shipped,Medium
10140,4,30,6,6,26,100.0,3188.12,Shipped,Medium
10150,1,31,6,27,20,100.0,3191.2,Shipped,Medium
10164,2,91,6,64,21,100.0,3536.82,Resolved,Medium
10175,9,33,6,50,33,100.0,5362.83,Shipped,Medium
10183,1,34,6,30,28,100.0,3433.36,Shipped,Medium
10194,4,35,6,31,26,100.0,4263.74,Shipped,Medium
10207,15,92,6,65,31,100.0,4076.19,Shipped,Medium
10217,4,93,6,66,48,100.0,7020.48,Shipped,Large
10229,9,94,6,40,50,100.0,6426.5,Shipped,Medium
10245,2,39,6,35,28,100.0,4591.72,Shipped,Medium
10259,12,40,6,66,26,100.0,4033.38,Shipped,Medium
10270,2,41,6,21,32,100.0,4302.08,Shipped,Medium
10281,9,95,6,19,44,100.0,7020.64,Shipped,Large
10291,4,43,6,38,30,100.0,3855.9,Shipped,Medium
10305,13,96,6,16,38,100.0,6680.78,Shipped,Medium
10313,7,97,6,32,40,100.0,6678.0,Shipped,Medium
10322,8,46,6,41,46,61.99,2851.54,Shipped,Small
10334,2,98,6,25,26,100.0,3188.12,On Hold,Medium
10347,2,48,6,11,27,100.0,4428.0,Shipped,Medium
10357,9,49,6,40,43,100.0,5780.92,Shipped,Medium
10370,4,50,6,43,35,65.63,2297.05,Shipped,Small
10381,6,51,6,5,37,100.0,6231.54,Shipped,Medium
10391,7,52,6,43,37,46.9,1735.3,Shipped,Small
10411,2,53,6,44,27,100.0,4427.73,Shipped,Medium
10425,12,54,6,15,38,100.0,5894.94,In Process,Medium
10108,6,99,7,67,33,100.0,5265.15,Shipped,Medium
10122,10,100,7,68,42,100.0,7599.9,Shipped,Large
10135,7,101,7,40,42,100.0,8008.56,Shipped,Large
10147,7,102,7,42,48,100.0,9245.76,Shipped,Large
10159,2,5,7,5,41,100.0,8296.35,Shipped,Large
10169,2,103,7,43,30,100.0,5019.9,Shipped,Medium
10181,14,104,7,8,27,100.0,5411.07,Shipped,Medium
10191,3,105,7,69,21,100.0,3840.9,Shipped,Medium
10203,8,106,7,24,20,100.0,3930.4,Shipped,Medium
10211,2,10,7,10,41,100.0,7498.9,Shipped,Large
10225,9,107,7,70,27,100.0,4517.91,Shipped,Medium
10238,3,108,7,49,28,100.0,5774.72,Shipped,Medium
10253,13,109,7,23,24,100.0,3922.56,Cancelled,Medium
10266,14,110,7,71,44,100.0,9160.36,Shipped,Large
10276,3,111,7,72,50,100.0,9631.0,Shipped,Large
10287,12,112,7,70,21,100.0,3432.24,Shipped,Medium
10300,5,113,7,73,33,100.0,5521.89,Shipped,Medium
10310,10,114,7,69,33,100.0,6934.62,Shipped,Medium
10320,3,115,7,25,31,100.0,6876.11,Shipped,Medium
10329,5,20,7,1,41,71.47,2930.27,Shipped,Small
10341,2,21,7,20,45,79.65,3584.25,Shipped,Medium
10363,3,116,7,74,33,85.39,2817.87,Shipped,Small
10375,7,23,7,15,45,76.0,3420.0,Shipped,Medium
10389,4,24,7,38,26,99.04,2575.04,Shipped,Small
10419,13,117,7,20,12,100.0,1961.28,Shipped,Small
10105,15,63,8,49,41,100.0,8690.36,Shipped,Large
10117,9,118,8,27,33,100.0,6034.38,Shipped,Medium
10127,2,119,8,75,46,100.0,11279.2,Shipped,Large
10142,12,120,8,40,33,100.0,8023.29,Shipped,Large
10153,11,121,8,24,20,100.0,4904.0,Shipped,Medium
10165,3,122,8,27,44,100.0,8594.52,Shipped,Large
10176,2,33,8,71,33,100.0,7474.5,Shipped,Large
10185,13,70,8,51,21,100.0,3883.74,Shipped,Medium
10196,5,71,8,35,47,100.0,8887.7,Shipped,Large
10208,13,123,8,31,46,100.0,8602.92,Shipped,Large
10220,2,124,8,76,32,100.0,7181.44,Shipped,Large
10231,2,125,8,77,42,100.0,8378.58,Shipped,Large
10247,2,126,8,74,44,100.0,10606.2,Shipped,Large
10272,2,127,8,19,35,100.0,5818.4,Shipped,Medium
10282,5,77,8,40,41,100.0,7071.27,Shipped,Large
10293,8,128,8,37,46,100.0,8411.56,Shipped,Large
10306,13,79,8,78,31,100.0,6570.76,Shipped,Medium
10314,5,97,8,79,38,100.0,7975.44,Shipped,Large
10325,8,81,8,18,42,64.0,2688.0,Shipped,Small
10336,10,129,8,63,33,57.22,1888.26,Shipped,Small
10348,8,80,8,26,48,52.36,2513.28,Shipped,Small
10359,8,84,8,2,42,100.0,4764.48,Shipped,Medium
10371,6,130,8,40,32,100.0,3560.64,Shipped,Medium
10382,10,51,8,40,34,100.0,3823.64,Shipped,Medium
10395,1,87,8,3,33,69.12,2280.96,Shipped,Small
10413,2,131,8,14,36,100.0,8677.8,Shipped,Large
10103,8,27,9,18,27,100.0,3394.98,Shipped,Medium
10113,2,132,9,40,21,100.0,3415.44,Shipped,Medium
10126,8,29,9,26,21,100.0,2439.57,Shipped,Small
10140,8,30,9,6,38,100.0,4829.8,Shipped,Medium
10150,5,31,9,27,30,100.0,4100.1,Shipped,Medium
10164,6,91,9,64,49,100.0,6563.06,Resolved,Medium
10174,1,33,9,29,43,100.0,6817.22,Shipped,Medium
10183,5,34,9,30,41,100.0,6163.94,Shipped,Medium
10194,8,35,9,31,38,100.0,4933.92,Shipped,Medium
10206,3,36,9,32,28,100.0,4056.36,Shipped,Medium
10216,1,133,9,39,43,100.0,5759.42,Shipped,Medium
10229,13,94,9,40,25,100.0,3451.0,Shipped,Medium
10245,6,39,9,35,38,100.0,5920.4,Shipped,Medium
10258,3,40,9,36,41,100.0,6668.24,Shipped,Medium
10270,6,41,9,21,28,100.0,4094.72,Shipped,Medium
10281,13,95,9,19,25,100.0,2938.5,Shipped,Small
10291,8,43,9,38,41,100.0,6387.8,Shipped,Medium
10304,3,44,9,39,39,100.0,6396.0,Shipped,Medium
10313,11,97,9,32,21,100.0,2669.1,Shipped,Small
10322,9,46,9,41,27,100.0,4784.13,Shipped,Medium
10333,6,47,9,9,33,99.21,3273.93,Shipped,Medium
10347,3,48,9,11,29,100.0,3586.43,Shipped,Medium
10357,8,49,9,40,49,100.0,5960.36,Shipped,Medium
10370,8,50,9,43,49,100.0,8470.14,Shipped,Large
10381,1,51,9,5,20,100.0,2952.0,Shipped,Small
10391,9,52,9,43,39,63.2,2464.8,Shipped,Small
10411,6,53,9,44,40,100.0,6232.0,Shipped,Medium
10424,3,54,9,24,49,100.0,7969.36,In Process,Large
10107,1,1,10,1,21,100.0,3036.6,Shipped,Medium
10121,4,2,10,2,50,100.0,8284.0,Shipped,Large
10134,1,3,10,3,20,100.0,2711.2,Shipped,Small
10145,5,4,10,4,49,100.0,8339.8,Shipped,Large
10159,13,5,10,5,38,100.0,6238.84,Shipped,Medium
10169,13,103,10,43,35,100.0,4639.25,Shipped,Medium
10180,8,7,10,7,40,100.0,6747.6,Shipped,Medium
10189,1,8,10,4,28,100.0,4512.48,Shipped,Medium
10201,1,9,10,9,25,100.0,4029.0,Shipped,Medium
10211,13,10,10,10,36,100.0,4771.8,Shipped,Medium
10224,6,134,10,7,43,100.0,6087.94,Shipped,Medium
10237,6,12,10,12,32,100.0,4193.28,Shipped,Medium
10251,1,13,10,13,46,100.0,7552.28,Shipped,Large
10263,1,14,10,14,48,100.0,6434.4,Shipped,Medium
10276,14,111,10,72,43,100.0,5181.5,Shipped,Medium
10285,5,16,10,16,49,100.0,6863.92,Shipped,Medium
10299,8,17,10,17,24,100.0,4157.04,Shipped,Medium
10309,4,18,10,18,26,100.0,4660.24,Shipped,Medium
10319,9,115,10,80,30,100.0,4111.8,Shipped,Medium
10329,6,20,10,1,24,100.0,3542.64,Shipped,Medium
10341,8,21,10,20,55,100.0,8118.55,Shipped,Large
10362,1,62,10,6,22,100.0,3877.06,Shipped,Medium
10375,13,23,10,15,49,78.92,3867.08,Shipped,Medium
10388,6,24,10,22,44,100.0,5951.44,Shipped,Medium
10403,6,25,10,23,66,100.0,8648.64,Shipped,Large
10417,1,26,10,24,21,100.0,3447.78,Disputed,Medium
10104,1,135,11,24,34,100.0,5958.5,Shipped,Medium
10117,10,118,11,27,43,100.0,5911.64,Shipped,Medium
10127,3,119,11,75,46,100.0,7366.44,Shipped,Large
10142,13,120,11,40,33,100.0,4985.64,Shipped,Medium
10153,12,121,11,24,42,100.0,5393.64,Shipped,Medium
10165,4,122,11,27,34,100.0,4880.02,Shipped,Medium
10176,3,33,11,71,47,100.0,8378.69,Shipped,Large
10185,14,70,11,51,33,100.0,4038.21,Shipped,Medium
10196,6,71,11,35,24,100.0,3807.12,Shipped,Medium
10208,14,123,11,31,26,100.0,3142.36,Shipped,Medium
10220,3,124,11,76,30,100.0,4713.6,Shipped,Medium
10230,1,136,11,73,43,100.0,7016.31,Shipped,Large
10247,3,126,11,74,25,100.0,4381.25,Shipped,Medium
10272,3,127,11,19,27,100.0,4283.01,Shipped,Medium
10282,6,77,11,40,27,100.0,4364.82,Shipped,Medium
10293,9,128,11,37,24,100.0,4242.24,Shipped,Medium
10306,14,79,11,78,34,100.0,4982.7,Shipped,Medium
10314,6,97,11,79,46,100.0,6393.54,Shipped,Medium
10324,1,81,11,12,27,54.33,1466.91,Shipped,Small
10336,11,129,11,63,33,100.0,4059.33,Shipped,Medium
10348,4,80,11,26,47,100.0,4801.52,Shipped,Medium
10358,5,49,11,24,49,55.34,2711.66,Shipped,Small
10372,4,137,11,36,40,100.0,5862.0,Shipped,Medium
10382,11,51,11,40,37,100.0,4071.85,Shipped,Medium
10413,3,131,11,14,47,100.0,8236.75,Shipped,Large
10108,4,99,12,67,45,100.0,6130.35,Shipped,Medium
10122,8,100,12,68,37,99.82,3693.34,Shipped,Medium
10135,5,101,12,40,48,100.0,6031.68,Shipped,Medium
10147,5,102,12,42,31,100.0,3494.94,Shipped,Medium
10160,6,138,12,55,46,100.0,5294.14,Shipped,Medium
10170,4,103,12,64,47,100.0,5464.69,Shipped,Medium
10181,12,104,12,8,28,100.0,2860.76,Shipped,Small
10191,1,105,12,69,40,100.0,5590.0,Shipped,Medium
10203,6,106,12,24,20,100.0,2254.8,Shipped,Small
10212,16,139,12,24,39,100.0,4946.76,Shipped,Medium
10225,7,107,12,70,25,99.82,2495.5,Shipped,Small
10238,1,108,12,49,29,100.0,3167.38,Shipped,Medium
10253,11,109,12,23,22,100.0,2402.84,Cancelled,Small
10266,12,110,12,71,22,100.0,2454.54,Shipped,Small
10276,1,111,12,72,47,100.0,5464.69,Shipped,Medium
10287,10,112,12,70,45,100.0,4756.5,Shipped,Medium
10300,3,113,12,73,29,100.0,3984.6,Shipped,Medium
10310,8,114,12,69,24,100.0,3100.32,Shipped,Medium
10320,1,115,12,25,35,100.0,4850.3,Shipped,Medium
10329,13,20,12,1,46,83.63,3846.98,Shipped,Medium
10341,1,21,12,20,44,95.93,4220.92,Shipped,Medium
10363,4,116,12,74,34,96.73,3288.82,Shipped,Medium
10376,1,140,12,81,35,100.0,3987.2,Shipped,Medium
10389,6,24,12,38,25,72.38,1809.5,Shipped,Small
10419,11,117,12,20,10,100.0,1092.2,Shipped,Small
10105,14,63,13,49,29,100.0,4566.05,Shipped,Medium
10117,8,118,13,27,39,100.0,5938.14,Shipped,Medium
10127,1,119,13,75,42,100.0,8138.76,Shipped,Large
10142,11,120,13,40,46,100.0,9470.94,Shipped,Large
10153,10,121,13,24,49,100.0,7036.89,Shipped,Large
10165,2,122,13,27,27,100.0,5559.03,Shipped,Medium
10176,1,33,13,71,50,100.0,7872.5,Shipped,Large
10185,12,70,13,51,43,100.0,7886.2,Shipped,Large
10196,4,71,13,35,38,100.0,7232.16,Shipped,Large
10208,12,123,13,31,20,100.0,3114.4,Shipped,Medium
10220,1,124,13,76,27,100.0,5045.22,Shipped,Medium
10231,1,125,13,77,49,100.0,6952.12,Shipped,Medium
10247,1,126,13,74,27,100.0,4157.73,Shipped,Medium
10272,1,127,13,19,39,100.0,7962.24,Shipped,Large
10282,4,77,13,40,24,100.0,3778.8,Shipped,Medium
10293,7,128,13,37,45,100.0,8253.0,Shipped,Large
10306,12,79,13,78,20,100.0,3633.4,Shipped,Medium
10314,4,97,13,79,36,100.0,6913.8,Shipped,Medium
10325,1,81,13,18,24,100.0,2583.6,Shipped,Small
10336,1,129,13,63,49,63.38,3105.62,Shipped,Medium
10349,10,141,13,75,26,100.0,4408.56,Shipped,Medium
10359,5,84,13,2,49,62.09,3042.41,Shipped,Medium
10372,1,137,13,36,34,100.0,5941.5,Shipped,Medium
10382,12,51,13,40,34,95.35,3241.9,Shipped,Medium
10396,3,142,13,40,33,100.0,6109.29,Shipped,Medium
10413,1,131,13,14,22,100.0,3387.78,Shipped,Medium
10108,7,99,14,67,39,89.38,3485.82,Shipped,Medium
10122,11,100,14,68,32,63.84,2042.88,Shipped,Small
10135,8,101,14,40,24,75.01,1800.24,Shipped,Small
10147,8,102,14,42,21,63.84,1340.64,Shipped,Small
10159,3,5,14,5,24,73.42,1762.08,Shipped,Small
10169,3,103,14,43,36,63.84,2298.24,Shipped,Small
10181,15,104,14,8,20,81.4,1628.0,Shipped,Small
10191,4,105,14,69,30,64.64,1939.2,Shipped,Small
10203,9,106,14,24,44,82.99,3651.56,Shipped,Medium
10211,3,10,14,10,28,92.57,2591.96,Shipped,Small
10225,10,107,14,70,37,77.41,2864.17,Shipped,Small
10238,4,108,14,49,20,74.21,1484.2,Shipped,Small
10253,14,109,14,23,25,90.17,2254.25,Cancelled,Small
10266,15,110,14,71,35,76.61,2681.35,Shipped,Small
10276,4,111,14,72,38,83.79,3184.02,Shipped,Medium
10287,13,112,14,70,41,69.43,2846.63,Shipped,Small
10300,6,113,14,73,22,76.61,1685.42,Shipped,Small
10310,11,114,14,69,49,81.4,3988.6,Shipped,Medium
10320,4,115,14,25,38,73.42,2789.96,Shipped,Small
10329,14,20,14,1,33,100.0,3607.56,Shipped,Medium
10341,10,21,14,20,36,93.56,3368.16,Shipped,Medium
10363,5,116,14,74,34,81.62,2775.08,Shipped,Small
10377,5,143,14,17,24,67.83,1627.92,Shipped,Small
10389,7,24,14,38,36,70.26,2529.36,Shipped,Small
10419,14,117,14,20,34,90.17,3065.78,Shipped,Medium
10104,9,135,15,24,41,100.0,4615.78,Shipped,Medium
10115,5,144,15,28,46,100.0,5723.78,Shipped,Medium
10127,11,119,15,75,24,100.0,2559.6,Shipped,Small
10141,5,145,15,74,21,100.0,2140.11,Shipped,Small
10151,3,146,15,61,24,100.0,3327.6,Shipped,Medium
10165,12,122,15,27,48,100.0,6825.6,Shipped,Medium
10175,1,33,15,50,26,100.0,3543.28,Shipped,Medium
10184,6,70,15,82,37,100.0,4516.22,Shipped,Medium
10195,6,35,15,48,49,100.0,6445.46,Shipped,Medium
10207,7,92,15,65,34,99.54,3384.36,Shipped,Medium
10219,2,147,15,83,48,100.0,4891.68,Shipped,Medium
10229,1,94,15,40,36,100.0,4521.96,Shipped,Medium
10246,5,126,15,24,46,100.0,5069.66,Shipped,Medium
10259,4,40,15,66,46,100.0,6541.2,Shipped,Medium
10271,5,127,15,40,31,97.17,3012.27,Shipped,Medium
10281,1,95,15,19,41,100.0,5247.18,Shipped,Medium
10292,8,43,15,1,21,100.0,2214.87,Shipped,Small
10305,5,96,15,16,38,100.0,4773.18,Shipped,Medium
10314,14,97,15,79,45,100.0,6185.7,Shipped,Medium
10324,7,81,15,12,26,58.38,1517.88,Shipped,Small
10336,3,129,15,63,38,100.0,6372.6,Shipped,Medium
10349,9,141,15,75,48,100.0,5232.96,Shipped,Medium
10358,9,49,15,24,42,64.16,2694.72,Shipped,Small
10371,4,130,15,40,49,35.71,1749.79,Shipped,Small
10382,13,51,15,40,32,66.58,2130.56,Shipped,Small
10412,5,148,15,24,54,100.0,5951.34,Shipped,Medium
10425,4,54,15,15,33,100.0,4692.6,In Process,Medium
10108,3,99,16,67,36,100.0,3731.04,Shipped,Medium
10122,7,100,16,68,20,100.0,2142.0,Shipped,Small
10135,4,101,16,40,29,97.89,2838.81,Shipped,Small
10147,4,102,16,42,33,97.89,3230.37,Shipped,Medium
10160,5,138,16,55,50,100.0,5182.0,Shipped,Medium
10170,3,103,16,64,41,100.0,4391.1,Shipped,Medium
10181,11,104,16,8,36,100.0,4477.32,Shipped,Medium
10192,16,105,16,41,27,100.0,3544.56,Shipped,Medium
10203,5,106,16,24,47,100.0,5195.85,Shipped,Medium
10212,15,139,16,24,33,100.0,4180.44,Shipped,Medium
10225,6,107,16,70,21,100.0,2684.43,Shipped,Small
10239,5,149,16,61,21,93.28,1958.88,Shipped,Small
10253,10,109,16,23,41,100.0,4910.57,Cancelled,Medium
10266,11,110,16,71,40,100.0,4468.4,Shipped,Medium
10277,1,150,16,27,28,100.0,3127.88,Shipped,Medium
10287,9,112,16,70,23,100.0,2675.13,Shipped,Small
10300,2,113,16,73,23,100.0,2807.61,Shipped,Small
10310,7,114,16,69,25,100.0,2504.75,Shipped,Small
10321,15,46,16,22,24,100.0,2984.88,Shipped,Small
10329,15,20,16,1,39,64.74,2524.86,Shipped,Small
10341,7,21,16,20,55,75.2,4136.0,Shipped,Medium
10363,6,116,16,74,46,88.45,4068.7,Shipped,Medium
10377,1,143,16,17,50,100.0,5182.0,Shipped,Medium
10389,8,24,16,38,47,100.0,5243.79,Shipped,Medium
10405,5,151,16,84,97,93.28,9048.16,Shipped,Large
10419,10,117,16,20,32,100.0,3832.64,Shipped,Medium
10103,10,27,17,18,35,100.0,3920.0,Shipped,Medium
10113,4,132,17,40,49,100.0,4916.66,Shipped,Medium
10126,10,29,17,26,38,100.0,3857.0,Shipped,Medium
10140,10,30,17,6,32,100.0,4181.44,Shipped,Medium
10150,7,31,17,27,34,100.0,4641.0,Shipped,Medium
10164,8,91,17,64,36,99.17,3570.12,Resolved,Medium
10174,3,33,17,29,48,93.34,4480.32,Shipped,Medium
10183,7,34,17,30,21,96.84,2033.64,Shipped,Small
10194,10,35,17,31,21,93.34,1960.14,Shipped,Small
10206,5,36,17,32,34,100.0,3966.78,Shipped,Medium
10215,2,37,17,33,46,100.0,5152.0,Shipped,Medium
10228,1,38,17,34,32,100.0,3360.0,Shipped,Medium
10245,8,39,17,35,29,100.0,3451.0,Shipped,Medium
10258,5,40,17,36,41,100.0,5453.0,Shipped,Medium
10270,8,41,17,21,43,96.84,4164.12,Shipped,Medium
10280,1,42,17,37,24,100.0,2800.08,Shipped,Small
10291,10,43,17,38,41,100.0,4687.94,Shipped,Medium
10304,5,44,17,39,46,98.0,4508.0,Shipped,Medium
10312,2,45,17,40,32,100.0,4181.44,Shipped,Medium
10322,10,46,17,41,22,100.0,2251.04,Shipped,Small
10333,7,47,17,9,29,40.25,1167.25,Shipped,Small
10347,5,48,17,11,42,49.6,2083.2,Shipped,Small
10357,1,49,17,40,39,98.0,3822.0,Shipped,Medium
10370,1,50,17,43,27,100.0,3911.49,Shipped,Medium
10381,2,51,17,5,48,98.0,4704.0,Shipped,Medium
10391,10,52,17,43,29,85.1,2467.9,Shipped,Small
10411,8,53,17,44,27,100.0,3213.0,Shipped,Medium
10424,5,54,17,24,54,100.0,7182.0,In Process,Large
10109,4,152,18,46,26,100.0,4379.18,Shipped,Medium
10122,2,100,18,68,34,100.0,5004.8,Shipped,Medium
10136,2,153,18,52,25,100.0,3644.75,Shipped,Medium
