ORDERDATE,PRODUCTLINE,CUSTOMERNAME,COUNTRY,SALES,QUANTITYORDERED,PRICEEACH,STATUS
2004-03-10,Classic Cars,Cambridge Collectables Co.,USA,6463.23,29,100.0,Shipped
2004-05-04,Classic Cars,Super Scale Inc.,USA,6120.34,34,100.0,Shipped
2004-06-15,Classic Cars,"Tokyo Collectables, Ltd",Japan,7680.64,32,100.0,Shipped
2004-07-19,Classic Cars,Souveniers And Things Co.,Australia,4905.39,21,100.0,Shipped
2004-08-17,Classic Cars,Amica Models & Co.,Italy,8014.82,34,100.0,Shipped
2004-09-08,Classic Cars,Scandinavian Gift Ideas,Sweden,7136.19,37,100.0,Shipped
2004-10-11,Classic Cars,Auto Assoc. & Cie.,France,10172.7,47,100.0,Shipped
2004-10-21,Classic Cars,Mini Gifts Distributors Ltd.,USA,11623.7,48,100.0,Shipped
2004-11-04,Classic Cars,Online Diecast Creations Co.,USA,6000.4,40,100.0,Shipped
2004-11-18,Classic Cars,Mini Wheels Co.,USA,3003.0,26,100.0,Shipped
2004-11-29,Classic Cars,"Australian Collectors, Co.",Australia,3944.7,30,100.0,Shipped
2004-12-10,Classic Cars,Mini Gifts Distributors Ltd.,USA,5691.84,32,100.0,Shipped
2005-01-20,Classic Cars,Collectables For Less Inc.,USA,4514.92,41,100.0,Shipped
2005-02-17,Classic Cars,Corporate Gift Ideas Co.,USA,8254.8,36,100.0,Shipped
2005-03-09,Classic Cars,"Anna's Decorations, Ltd",Australia,2416.56,24,100.0,Shipped
2005-05-01,Classic Cars,Quebec Home Shopping Network,Canada,4140.23,23,100.0,Shipped
2005-05-31,Classic Cars,Euro Shopping Channel,Spain,12001.0,50,100.0,In Process
2003-02-24,Motorcycles,Land of Toys Inc.,USA,3896.49,39,99.91,Shipped
2003-04-29,Motorcycles,"Australian Collectors, Co.",Australia,2793.86,29,96.34,Shipped
2003-07-01,Motorcycles,Lyon Souveniers,France,3307.77,27,100.0,Shipped
2003-08-25,Motorcycles,Toys4GrownUps.com,USA,5192.95,37,100.0,Shipped
2003-10-10,Motorcycles,Corporate Gift Ideas Co.,USA,5016.83,37,100.0,Shipped
2003-10-28,Motorcycles,Technics Stores Inc.,USA,3660.93,27,100.0,Shipped
2003-11-11,Motorcycles,Daedalus Designs Imports,France,4695.6,42,100.0,Shipped
2003-11-18,Motorcycles,Herkku Gifts,Norway,3660.92,38,96.34,Shipped
2003-12-01,Motorcycles,Mini Wheels Co.,USA,3025.92,24,100.0,Shipped
2004-01-12,Motorcycles,Osaka Souveniers Co.,Japan,3009.09,23,100.0,Shipped
2004-02-20,Motorcycles,"Australian Collectors, Co.",Australia,5422.39,47,100.0,Shipped
2004-04-03,Motorcycles,Motor Mint Distributors Inc.,USA,2852.08,22,100.0,Shipped
2004-05-18,Motorcycles,Tekni Collectables Inc.,USA,5756.52,44,100.0,Shipped
2004-06-28,Motorcycles,Gift Depot Inc.,USA,4472.0,40,100.0,Shipped
2004-07-23,Motorcycles,La Rochelle Gifts,France,2904.44,22,100.0,Shipped
2004-08-27,Motorcycles,Marta's Replicas Co.,USA,6484.59,47,100.0,Shipped
2004-09-27,Motorcycles,Atelier graphique,France,3757.26,39,96.34,Shipped
2004-10-15,Motorcycles,Mini Classics,USA,4043.96,34,100.0,Shipped
2004-11-02,Motorcycles,Diecast Classics Inc.,USA,5566.5,45,100.0,Shipped
2004-11-15,Motorcycles,Land of Toys Inc.,USA,3176.0,20,100.0,Shipped
2004-11-23,Motorcycles,"Tokyo Collectables, Ltd",Japan,2756.8,40,68.92,Shipped
2004-12-17,Motorcycles,Souveniers And Things Co.,Australia,1329.9,26,51.15,Shipped
2005-02-02,Motorcycles,"Australian Gift Network, Co",Australia,5288.01,39,100.0,Shipped
2005-03-03,Motorcycles,FunGiftIdeas.com,USA,2225.5,50,44.51,Shipped
2005-04-07,Motorcycles,Auto Canal Petit,France,5833.8,45,100.0,Shipped
2005-05-13,Motorcycles,Euro Shopping Channel,Spain,5887.35,45,100.0,Disputed
2003-02-24,Motorcycles,Land of Toys Inc.,USA,6065.55,27,100.0,Shipped
2003-04-29,Motorcycles,"Australian Collectors, Co.",Australia,9264.86,46,100.0,Shipped
2003-07-01,Motorcycles,Lyon Souveniers,France,7023.98,31,100.0,Shipped
2003-08-25,Motorcycles,Toys4GrownUps.com,USA,5176.38,33,100.0,Shipped
2003-10-10,Motorcycles,Corporate Gift Ideas Co.,USA,4132.7,22,100.0,Shipped
2003-10-28,Motorcycles,Technics Stores Inc.,USA,4183.0,20,100.0,Shipped
2003-11-11,Motorcycles,Daedalus Designs Imports,France,8892.9,41,100.0,Shipped
2003-11-18,Motorcycles,Herkku Gifts,Norway,8714.7,45,100.0,Shipped
2003-12-01,Motorcycles,Mini Wheels Co.,USA,8065.89,49,100.0,Shipped
2004-01-12,Motorcycles,Osaka Souveniers Co.,Japan,6123.4,34,100.0,Shipped
2004-02-20,Motorcycles,"Australian Collectors, Co.",Australia,9774.03,49,100.0,Shipped
2004-04-05,Motorcycles,Vitachrome Inc.,USA,7023.9,39,100.0,Shipped
2004-05-18,Motorcycles,Tekni Collectables Inc.,USA,7078.23,43,100.0,Shipped
2004-06-28,Motorcycles,Gift Depot Inc.,USA,8336.94,41,100.0,Shipped
2004-07-23,Motorcycles,La Rochelle Gifts,France,6901.92,36,100.0,Shipped
2004-08-27,Motorcycles,Marta's Replicas Co.,USA,5438.07,27,100.0,Shipped
2004-09-30,Motorcycles,"Toys of Finland, Co.",Finland,6683.34,29,100.0,Shipped
2004-10-15,Motorcycles,Mini Classics,USA,4570.4,20,100.0,Shipped
2004-11-02,Motorcycles,Diecast Classics Inc.,USA,7667.14,37,100.0,Shipped
2004-11-15,Motorcycles,Land of Toys Inc.,USA,5868.2,26,100.0,Shipped
2004-11-23,Motorcycles,"Tokyo Collectables, Ltd",Japan,2990.13,39,76.67,Shipped
2005-01-05,Motorcycles,Technics Stores Inc.,USA,3664.1,22,100.0,Shipped
2005-02-02,Motorcycles,"Australian Gift Network, Co",Australia,3834.38,22,100.0,Shipped
2005-03-03,Motorcycles,FunGiftIdeas.com,USA,1822.17,21,86.77,Shipped
2005-04-08,Motorcycles,"UK Collectables, Ltd.",UK,11886.6,66,100.0,Shipped
2005-05-13,Motorcycles,Euro Shopping Channel,Spain,9218.16,56,100.0,Disputed
2003-02-11,Classic Cars,Danish Wholesale Imports,Denmark,7208.0,50,100.0,Shipped
2003-04-28,Classic Cars,Salzburg Collectables,Austria,5004.8,46,100.0,Shipped
2003-06-12,Classic Cars,"Stylish Desk Decors, Co.",UK,4398.24,33,100.0,Shipped
2003-08-10,Classic Cars,Mini Creations Ltd.,USA,5597.76,49,100.0,Shipped
2003-10-06,Classic Cars,"Toys of Finland, Co.",Finland,4526.08,32,100.0,Shipped
2003-10-23,Classic Cars,Scandinavian Gift Ideas,Sweden,5924.16,44,100.0,Cancelled
2003-11-08,Classic Cars,Alpha Cognac,France,3492.48,24,100.0,Shipped
2003-11-14,Classic Cars,"Double Decker Gift Stores, Ltd",UK,3854.24,26,100.0,Shipped
2003-11-26,Classic Cars,Enaco Distributors,Spain,5324.4,45,100.0,Shipped
2004-01-09,Classic Cars,"Men 'R' US Retailers, Ltd.",USA,5197.92,39,100.0,Shipped
2004-02-19,Classic Cars,Collectable Mini Designs Co.,USA,5997.6,49,100.0,Shipped
2004-05-07,Classic Cars,Land of Toys Inc.,USA,2910.4,20,100.0,Cancelled
2004-06-17,Classic Cars,Quebec Home Shopping Network,Canada,3378.24,27,100.0,Shipped
2004-07-21,Classic Cars,Petit Auto,Belgium,3508.8,30,100.0,Shipped
2004-08-20,Classic Cars,"Royal Canadian Collectables, Ltd.",Canada,2992.0,25,100.0,Shipped
2004-09-10,Classic Cars,Gifts4AllAges.com,USA,3427.2,24,100.0,Shipped
2004-10-14,Classic Cars,"Classic Gift Ideas, Inc",USA,2692.8,22,100.0,Shipped
2004-11-01,Classic Cars,giftsbymail.co.uk,UK,4128.96,33,100.0,Shipped
2004-11-05,Classic Cars,Baane Mini Imports,Norway,3051.71,47,64.93,Shipped
2004-11-21,Classic Cars,Classic Legends Inc.,USA,1201.25,25,48.05,Shipped
2004-12-02,Classic Cars,Euro Shopping Channel,Spain,1962.22,26,75.47,Shipped
2004-12-15,Classic Cars,Reims Collectables,France,2624.64,48,54.68,Shipped
2005-01-31,Classic Cars,"Oulu Toy Supplies, Inc.",Finland,4046.25,39,100.0,Shipped
2005-02-23,Classic Cars,Corporate Gift Ideas Co.,USA,4846.7,34,100.0,Shipped
2005-03-17,Classic Cars,Lyon Souveniers,France,3370.56,32,100.0,Shipped
2005-04-01,Classic Cars,The Sharp Gifts Warehouse,USA,9661.44,64,100.0,Shipped
2005-05-06,Classic Cars,Gifts4AllAges.com,USA,2764.88,19,100.0,On Hold
2003-01-29,Classic Cars,Baane Mini Imports,Norway,5398.26,42,100.0,Shipped
2003-04-01,Classic Cars,"La Corne D'abondance, Co.",France,4305.28,31,100.0,Shipped
2003-05-28,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,3347.74,22,100.0,Shipped
2003-07-24,Classic Cars,Technics Stores Inc.,USA,3188.12,26,100.0,Shipped
2003-09-19,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,3191.2,20,100.0,Shipped
2003-10-21,Classic Cars,Mini Auto Werke,Austria,3536.82,21,100.0,Resolved
2003-11-06,Classic Cars,"Stylish Desk Decors, Co.",UK,5362.83,33,100.0,Shipped
2003-11-13,Classic Cars,"Classic Gift Ideas, Inc",USA,3433.36,28,100.0,Shipped
2003-11-25,Classic Cars,"Saveley & Henriot, Co.",France,4263.74,26,100.0,Shipped
2003-12-09,Classic Cars,Diecast Collectables,USA,4076.19,31,100.0,Shipped
2004-02-04,Classic Cars,Handji Gifts& Co,Singapore,7020.48,48,100.0,Shipped
2004-03-11,Classic Cars,Mini Gifts Distributors Ltd.,USA,6426.5,50,100.0,Shipped
2004-05-04,Classic Cars,Super Scale Inc.,USA,4591.72,28,100.0,Shipped
2004-06-15,Classic Cars,Handji Gifts& Co,Singapore,4033.38,26,100.0,Shipped
2004-07-19,Classic Cars,Souveniers And Things Co.,Australia,4302.08,32,100.0,Shipped
2004-08-19,Classic Cars,Diecast Classics Inc.,USA,7020.64,44,100.0,Shipped
2004-09-08,Classic Cars,Scandinavian Gift Ideas,Sweden,3855.9,30,100.0,Shipped
2004-10-13,Classic Cars,Marta's Replicas Co.,USA,6680.78,38,100.0,Shipped
2004-10-22,Classic Cars,Canadian Gift Exchange Network,Canada,6678.0,40,100.0,Shipped
2004-11-04,Classic Cars,Online Diecast Creations Co.,USA,2851.54,46,61.99,Shipped
2004-11-19,Classic Cars,"Volvo Model Replicas, Co",Sweden,3188.12,26,100.0,On Hold
2004-11-29,Classic Cars,"Australian Collectors, Co.",Australia,4428.0,27,100.0,Shipped
2004-12-10,Classic Cars,Mini Gifts Distributors Ltd.,USA,5780.92,43,100.0,Shipped
2005-01-20,Classic Cars,"Anna's Decorations, Ltd",Australia,2297.05,35,65.63,Shipped
2005-02-17,Classic Cars,Corporate Gift Ideas Co.,USA,6231.54,37,100.0,Shipped
2005-03-09,Classic Cars,"Anna's Decorations, Ltd",Australia,1735.3,37,46.9,Shipped
2005-05-01,Classic Cars,Quebec Home Shopping Network,Canada,4427.73,27,100.0,Shipped
2005-05-31,Classic Cars,La Rochelle Gifts,France,5894.94,38,100.0,In Process
2003-03-03,Classic Cars,Cruz & Sons Co.,Philippines,5265.15,33,100.0,Shipped
2003-05-08,Classic Cars,Marseille Mini Autos,France,7599.9,42,100.0,Shipped
2003-07-02,Classic Cars,Mini Gifts Distributors Ltd.,USA,8008.56,42,100.0,Shipped
2003-09-05,Classic Cars,Collectables For Less Inc.,USA,9245.76,48,100.0,Shipped
2003-10-10,Classic Cars,Corporate Gift Ideas Co.,USA,8296.35,41,100.0,Shipped
2003-11-04,Classic Cars,"Anna's Decorations, Ltd",Australia,5019.9,30,100.0,Shipped
2003-11-12,Classic Cars,Herkku Gifts,Norway,5411.07,27,100.0,Shipped
2003-11-20,Classic Cars,"Toms Spezialitten, Ltd",Germany,3840.9,21,100.0,Shipped
2003-12-02,Classic Cars,Euro Shopping Channel,Spain,3930.4,20,100.0,Shipped
2004-01-15,Classic Cars,Auto Canal Petit,France,7498.9,41,100.0,Shipped
2004-02-22,Classic Cars,"Vida Sport, Ltd",Switzerland,4517.91,27,100.0,Shipped
2004-04-09,Classic Cars,Danish Wholesale Imports,Denmark,5774.72,28,100.0,Shipped
2004-06-01,Classic Cars,"UK Collectables, Ltd.",UK,3922.56,24,100.0,Cancelled
2004-07-06,Classic Cars,L'ordine Souveniers,Italy,9160.36,44,100.0,Shipped
2004-08-02,Classic Cars,Online Mini Collectables,USA,9631.0,50,100.0,Shipped
2004-08-30,Classic Cars,"Vida Sport, Ltd",Switzerland,3432.24,21,100.0,Shipped
2003-10-04,Classic Cars,"Blauer See Auto, Co.",Germany,5521.89,33,100.0,Shipped
2004-10-16,Classic Cars,"Toms Spezialitten, Ltd",Germany,6934.62,33,100.0,Shipped
2004-11-03,Classic Cars,"Volvo Model Replicas, Co",Sweden,6876.11,31,100.0,Shipped
2004-11-15,Classic Cars,Land of Toys Inc.,USA,2930.27,41,71.47,Shipped
2004-11-24,Classic Cars,Salzburg Collectables,Austria,3584.25,45,79.65,Shipped
2005-01-06,Classic Cars,Suominen Souveniers,Finland,2817.87,33,85.39,Shipped
2005-02-03,Classic Cars,La Rochelle Gifts,France,3420.0,45,76.0,Shipped
2005-03-03,Classic Cars,Scandinavian Gift Ideas,Sweden,2575.04,26,99.04,Shipped
2005-05-17,Classic Cars,Salzburg Collectables,Austria,1961.28,12,100.0,Shipped
2003-02-11,Classic Cars,Danish Wholesale Imports,Denmark,8690.36,41,100.0,Shipped
2003-04-16,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,6034.38,33,100.0,Shipped
2003-06-03,Classic Cars,Muscle Machine Inc,USA,11279.2,46,100.0,Shipped
2003-08-08,Classic Cars,Mini Gifts Distributors Ltd.,USA,8023.29,33,100.0,Shipped
2003-09-28,Classic Cars,Euro Shopping Channel,Spain,4904.0,20,100.0,Shipped
2003-10-22,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,8594.52,44,100.0,Shipped
2003-11-06,Classic Cars,L'ordine Souveniers,Italy,7474.5,33,100.0,Shipped
2003-11-14,Classic Cars,Mini Creations Ltd.,USA,3883.74,21,100.0,Shipped
2003-11-26,Classic Cars,Super Scale Inc.,USA,8887.7,47,100.0,Shipped
2004-01-02,Classic Cars,"Saveley & Henriot, Co.",France,8602.92,46,100.0,Shipped
2004-02-12,Classic Cars,"Clover Collections, Co.",Ireland,7181.44,32,100.0,Shipped
2004-03-19,Classic Cars,CAF Imports,Spain,8378.58,42,100.0,Shipped
2004-05-05,Classic Cars,Suominen Souveniers,Finland,10606.2,44,100.0,Shipped
2004-07-20,Classic Cars,Diecast Classics Inc.,USA,5818.4,35,100.0,Shipped
2004-08-20,Classic Cars,Mini Gifts Distributors Ltd.,USA,7071.27,41,100.0,Shipped
2004-09-09,Classic Cars,Amica Models & Co.,Italy,8411.56,46,100.0,Shipped
2004-10-14,Classic Cars,"AV Stores, Co.",UK,6570.76,31,100.0,Shipped
2004-10-22,Classic Cars,Heintze Collectables,Denmark,7975.44,38,100.0,Shipped
2004-11-05,Classic Cars,Baane Mini Imports,Norway,2688.0,42,64.0,Shipped
2004-11-20,Classic Cars,"La Corne D'abondance, Co.",France,1888.26,33,57.22,Shipped
2004-11-01,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,2513.28,48,52.36,Shipped
2004-12-15,Classic Cars,Reims Collectables,France,4764.48,42,100.0,Shipped
2005-01-23,Classic Cars,Mini Gifts Distributors Ltd.,USA,3560.64,32,100.0,Shipped
2005-02-17,Classic Cars,Mini Gifts Distributors Ltd.,USA,3823.64,34,100.0,Shipped
2005-03-17,Classic Cars,Lyon Souveniers,France,2280.96,33,69.12,Shipped
2005-05-05,Classic Cars,Gift Depot Inc.,USA,8677.8,36,100.0,Shipped
2003-01-29,Trucks and Buses,Baane Mini Imports,Norway,3394.98,27,100.0,Shipped
2003-03-26,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,3415.44,21,100.0,Shipped
2003-05-28,Trucks and Buses,"Corrida Auto Replicas, Ltd",Spain,2439.57,21,100.0,Shipped
2003-07-24,Trucks and Buses,Technics Stores Inc.,USA,4829.8,38,100.0,Shipped
2003-09-19,Trucks and Buses,"Dragon Souveniers, Ltd.",Singapore,4100.1,30,100.0,Shipped
2003-10-21,Trucks and Buses,Mini Auto Werke,Austria,6563.06,49,100.0,Resolved
2003-11-06,Trucks and Buses,"Australian Gift Network, Co",Australia,6817.22,43,100.0,Shipped
2003-11-13,Trucks and Buses,"Classic Gift Ideas, Inc",USA,6163.94,41,100.0,Shipped
2003-11-25,Trucks and Buses,"Saveley & Henriot, Co.",France,4933.92,38,100.0,Shipped
2003-12-05,Trucks and Buses,Canadian Gift Exchange Network,Canada,4056.36,28,100.0,Shipped
2004-02-02,Trucks and Buses,Auto Assoc. & Cie.,France,5759.42,43,100.0,Shipped
2004-03-11,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,3451.0,25,100.0,Shipped
2004-05-04,Trucks and Buses,Super Scale Inc.,USA,5920.4,38,100.0,Shipped
2004-06-15,Trucks and Buses,"Tokyo Collectables, Ltd",Japan,6668.24,41,100.0,Shipped
2004-07-19,Trucks and Buses,Souveniers And Things Co.,Australia,4094.72,28,100.0,Shipped
2004-08-19,Trucks and Buses,Diecast Classics Inc.,USA,2938.5,25,100.0,Shipped
2004-09-08,Trucks and Buses,Scandinavian Gift Ideas,Sweden,6387.8,41,100.0,Shipped
2004-10-11,Trucks and Buses,Auto Assoc. & Cie.,France,6396.0,39,100.0,Shipped
2004-10-22,Trucks and Buses,Canadian Gift Exchange Network,Canada,2669.1,21,100.0,Shipped
2004-11-04,Trucks and Buses,Online Diecast Creations Co.,USA,4784.13,27,100.0,Shipped
2004-11-18,Trucks and Buses,Mini Wheels Co.,USA,3273.93,33,99.21,Shipped
2004-11-29,Trucks and Buses,"Australian Collectors, Co.",Australia,3586.43,29,100.0,Shipped
2004-12-10,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,5960.36,49,100.0,Shipped
2005-01-20,Trucks and Buses,"Anna's Decorations, Ltd",Australia,8470.14,49,100.0,Shipped
2005-02-17,Trucks and Buses,Corporate Gift Ideas Co.,USA,2952.0,20,100.0,Shipped
2005-03-09,Trucks and Buses,"Anna's Decorations, Ltd",Australia,2464.8,39,63.2,Shipped
2005-05-01,Trucks and Buses,Quebec Home Shopping Network,Canada,6232.0,40,100.0,Shipped
2005-05-31,Trucks and Buses,Euro Shopping Channel,Spain,7969.36,49,100.0,In Process
2003-02-24,Motorcycles,Land of Toys Inc.,USA,3036.6,21,100.0,Shipped
2003-05-07,Motorcycles,Reims Collectables,France,8284.0,50,100.0,Shipped
2003-07-01,Motorcycles,Lyon Souveniers,France,2711.2,20,100.0,Shipped
2003-08-25,Motorcycles,Toys4GrownUps.com,USA,8339.8,49,100.0,Shipped
2003-10-10,Motorcycles,Corporate Gift Ideas Co.,USA,6238.84,38,100.0,Shipped
2003-11-04,Motorcycles,"Anna's Decorations, Ltd",Australia,4639.25,35,100.0,Shipped
2003-11-11,Motorcycles,Daedalus Designs Imports,France,6747.6,40,100.0,Shipped
2003-11-18,Motorcycles,Toys4GrownUps.com,USA,4512.48,28,100.0,Shipped
2003-12-01,Motorcycles,Mini Wheels Co.,USA,4029.0,25,100.0,Shipped
2004-01-15,Motorcycles,Auto Canal Petit,France,4771.8,36,100.0,Shipped
2004-02-21,Motorcycles,Daedalus Designs Imports,France,6087.94,43,100.0,Shipped
2004-04-05,Motorcycles,Vitachrome Inc.,USA,4193.28,32,100.0,Shipped
2004-05-18,Motorcycles,Tekni Collectables Inc.,USA,7552.28,46,100.0,Shipped
2004-06-28,Motorcycles,Gift Depot Inc.,USA,6434.4,48,100.0,Shipped
2004-08-02,Motorcycles,Online Mini Collectables,USA,5181.5,43,100.0,Shipped
2004-08-27,Motorcycles,Marta's Replicas Co.,USA,6863.92,49,100.0,Shipped
2004-09-30,Motorcycles,"Toys of Finland, Co.",Finland,4157.04,24,100.0,Shipped
2004-10-15,Motorcycles,Baane Mini Imports,Norway,4660.24,26,100.0,Shipped
2004-11-03,Motorcycles,Microscale Inc.,USA,4111.8,30,100.0,Shipped
2004-11-15,Motorcycles,Land of Toys Inc.,USA,3542.64,24,100.0,Shipped
2004-11-24,Motorcycles,Salzburg Collectables,Austria,8118.55,55,100.0,Shipped
2005-01-05,Motorcycles,Technics Stores Inc.,USA,3877.06,22,100.0,Shipped
2005-02-03,Motorcycles,La Rochelle Gifts,France,3867.08,49,78.92,Shipped
2005-03-03,Motorcycles,FunGiftIdeas.com,USA,5951.44,44,100.0,Shipped
2005-04-08,Motorcycles,"UK Collectables, Ltd.",UK,8648.64,66,100.0,Shipped
2005-05-13,Motorcycles,Euro Shopping Channel,Spain,3447.78,21,100.0,Disputed
2003-01-31,Classic Cars,Euro Shopping Channel,Spain,5958.5,34,100.0,Shipped
2003-04-16,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,5911.64,43,100.0,Shipped
2003-06-03,Classic Cars,Muscle Machine Inc,USA,7366.44,46,100.0,Shipped
2003-08-08,Classic Cars,Mini Gifts Distributors Ltd.,USA,4985.64,33,100.0,Shipped
2003-09-28,Classic Cars,Euro Shopping Channel,Spain,5393.64,42,100.0,Shipped
2003-10-22,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,4880.02,34,100.0,Shipped
2003-11-06,Classic Cars,L'ordine Souveniers,Italy,8378.69,47,100.0,Shipped
2003-11-14,Classic Cars,Mini Creations Ltd.,USA,4038.21,33,100.0,Shipped
2003-11-26,Classic Cars,Super Scale Inc.,USA,3807.12,24,100.0,Shipped
2004-01-02,Classic Cars,"Saveley & Henriot, Co.",France,3142.36,26,100.0,Shipped
2004-02-12,Classic Cars,"Clover Collections, Co.",Ireland,4713.6,30,100.0,Shipped
2004-03-15,Classic Cars,"Blauer See Auto, Co.",Germany,7016.31,43,100.0,Shipped
2004-05-05,Classic Cars,Suominen Souveniers,Finland,4381.25,25,100.0,Shipped
2004-07-20,Classic Cars,Diecast Classics Inc.,USA,4283.01,27,100.0,Shipped
2004-08-20,Classic Cars,Mini Gifts Distributors Ltd.,USA,4364.82,27,100.0,Shipped
2004-09-09,Classic Cars,Amica Models & Co.,Italy,4242.24,24,100.0,Shipped
2004-10-14,Classic Cars,"AV Stores, Co.",UK,4982.7,34,100.0,Shipped
2004-10-22,Classic Cars,Heintze Collectables,Denmark,6393.54,46,100.0,Shipped
2004-11-05,Classic Cars,Vitachrome Inc.,USA,1466.91,27,54.33,Shipped
2004-11-20,Classic Cars,"La Corne D'abondance, Co.",France,4059.33,33,100.0,Shipped
2004-11-01,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,4801.52,47,100.0,Shipped
2004-12-10,Classic Cars,Euro Shopping Channel,Spain,2711.66,49,55.34,Shipped
2005-01-26,Classic Cars,"Tokyo Collectables, Ltd",Japan,5862.0,40,100.0,Shipped
2005-02-17,Classic Cars,Mini Gifts Distributors Ltd.,USA,4071.85,37,100.0,Shipped
2005-05-05,Classic Cars,Gift Depot Inc.,USA,8236.75,47,100.0,Shipped
2003-03-03,Classic Cars,Cruz & Sons Co.,Philippines,6130.35,45,100.0,Shipped
2003-05-08,Classic Cars,Marseille Mini Autos,France,3693.34,37,99.82,Shipped
2003-07-02,Classic Cars,Mini Gifts Distributors Ltd.,USA,6031.68,48,100.0,Shipped
2003-09-05,Classic Cars,Collectables For Less Inc.,USA,3494.94,31,100.0,Shipped
2003-10-11,Classic Cars,"Men 'R' US Retailers, Ltd.",USA,5294.14,46,100.0,Shipped
2003-11-04,Classic Cars,Mini Auto Werke,Austria,5464.69,47,100.0,Shipped
2003-11-12,Classic Cars,Herkku Gifts,Norway,2860.76,28,100.0,Shipped
2003-11-20,Classic Cars,"Toms Spezialitten, Ltd",Germany,5590.0,40,100.0,Shipped
2003-12-02,Classic Cars,Euro Shopping Channel,Spain,2254.8,20,100.0,Shipped
