DATA,DATE_ID,ANO,MES,MES_NOME,TRIMESTRE,DIA,DIA_SEMANA
2004-10-11,44,2004,10,October,4,11,Monday
2004-10-21,45,2004,10,October,4,21,Thursday
2004-11-04,46,2004,11,November,4,4,Thursday
2004-11-18,47,2004,11,November,4,18,Thursday
2004-11-29,48,2004,11,November,4,29,Monday
2004-12-10,49,2004,12,December,4,10,Friday
2005-01-20,50,2005,1,January,1,20,Thursday
2005-02-17,51,2005,2,February,1,17,Thursday
2005-03-09,52,2005,3,March,1,9,Wednesday
2005-05-01,53,2005,5,May,2,1,Sunday
2005-05-31,54,2005,5,May,2,31,Tuesday
2003-04-29,55,2003,4,April,2,29,Tuesday
2004-01-12,56,2004,1,January,1,12,Monday
2004-04-03,57,2004,4,April,2,3,Saturday
2004-09-27,58,2004,9,September,3,27,Monday
2004-11-23,59,2004,11,November,4,23,Tuesday
2005-02-02,60,2005,2,February,1,2,Wednesday
2005-04-07,61,2005,4,April,2,7,Thursday
2005-01-05,62,2005,1,January,1,5,Wednesday
2003-02-11,63,2003,2,February,1,11,Tuesday
2003-04-28,64,2003,4,April,2,28,Monday
2003-06-12,65,2003,6,June,2,12,Thursday
2003-08-10,66,2003,8,August,3,10,Sunday
2003-10-06,67,2003,10,October,4,6,Monday
2003-10-23,68,2003,10,October,4,23,Thursday
2003-11-08,69,2003,11,November,4,8,Saturday
2003-11-14,70,2003,11,November,4,14,Friday
2003-11-26,71,2003,11,November,4,26,Wednesday
2004-01-09,72,2004,1,January,1,9,Friday
2004-02-19,73,2004,2,February,1,19,Thursday
2004-05-07,74,2004,5,May,2,7,Friday
2004-06-17,75,2004,6,June,2,17,Thursday
2004-07-21,76,2004,7,July,3,21,Wednesday
2004-08-20,77,2004,8,August,3,20,Friday
2004-09-10,78,2004,9,September,3,10,Friday
2004-10-14,79,2004,10,October,4,14,Thursday
2004-11-01,80,2004,11,November,4,1,Monday
2004-11-05,81,2004,11,November,4,5,Friday
2004-11-21,82,2004,11,November,4,21,Sunday
2004-12-02,83,2004,12,December,4,2,Thursday
2004-12-15,84,2004,12,December,4,15,Wednesday
2005-01-31,85,2005,1,January,1,31,Monday
2005-02-23,86,2005,2,February,1,23,Wednesday
2005-03-17,87,2005,3,March,1,17,Thursday
2005-04-01,88,2005,4,April,2,1,Friday
2005-05-06,89,2005,5,May,2,6,Friday
2003-04-01,90,2003,4,April,2,1,Tuesday
2003-10-21,91,2003,10,October,4,21,Tuesday
2003-12-09,92,2003,12,December,4,9,Tuesday
2004-02-04,93,2004,2,February,1,4,Wednesday
2004-03-11,94,2004,3,March,1,11,Thursday
2004-08-19,95,2004,8,August,3,19,Thursday
2004-10-13,96,2004,10,October,4,13,Wednesday
2004-10-22,97,2004,10,October,4,22,Friday
2004-11-19,98,2004,11,November,4,19,Friday
2003-03-03,99,2003,3,March,1,3,Monday
2003-05-08,100,2003,5,May,2,8,Thursday
2003-07-02,101,2003,7,July,3,2,Wednesday
2003-09-05,102,2003,9,September,3,5,Friday
2003-11-04,103,2003,11,November,4,4,Tuesday
2003-11-12,104,2003,11,November,4,12,Wednesday
2003-11-20,105,2003,11,November,4,20,Thursday
2003-12-02,106,2003,12,December,4,2,Tuesday
2004-02-22,107,2004,2,February,1,22,Sunday
2004-04-09,108,2004,4,April,2,9,Friday
2004-06-01,109,2004,6,June,2,1,Tuesday
2004-07-06,110,2004,7,July,3,6,Tuesday
2004-08-02,111,2004,8,August,3,2,Monday
2004-08-30,112,2004,8,August,3,30,Monday
2003-10-04,113,2003,10,October,4,4,Saturday
2004-10-16,114,2004,10,October,4,16,Saturday
2004-11-03,115,2004,11,November,4,3,Wednesday
2005-01-06,116,2005,1,January,1,6,Thursday
2005-05-17,117,2005,5,May,2,17,Tuesday
2003-04-16,118,2003,4,April,2,16,Wednesday
2003-06-03,119,2003,6,June,2,3,Tuesday
2003-08-08,120,2003,8,August,3,8,Friday
2003-09-28,121,2003,9,September,3,28,Sunday
2003-10-22,122,2003,10,October,4,22,Wednesday
2004-01-02,123,2004,1,January,1,2,Friday
2004-02-12,124,2004,2,February,1,12,Thursday
2004-03-19,125,2004,3,March,1,19,Friday
2004-05-05,126,2004,5,May,2,5,Wednesday
2004-07-20,127,2004,7,July,3,20,Tuesday
2004-09-09,128,2004,9,September,3,9,Thursday
2004-11-20,129,2004,11,November,4,20,Saturday
2005-01-23,130,2005,1,January,1,23,Sunday
2005-05-05,131,2005,5,May,2,5,Thursday
2003-03-26,132,2003,3,March,1,26,Wednesday
2004-02-02,133,2004,2,February,1,2,Monday
2004-02-21,134,2004,2,February,1,21,Saturday
2003-01-31,135,2003,1,January,1,31,Friday
2004-03-15,136,2004,3,March,1,15,Monday
2005-01-26,137,2005,1,January,1,26,Wednesday
2003-10-11,138,2003,10,October,4,11,Saturday
2004-01-16,139,2004,1,January,1,16,Friday
2005-02-08,140,2005,2,February,1,8,Tuesday
2004-12-01,141,2004,12,December,4,1,Wednesday
2005-03-23,142,2005,3,March,1,23,Wednesday
2005-02-09,143,2005,2,February,1,9,Wednesday
2003-04-04,144,2003,4,April,2,4,Friday
2003-08-01,145,2003,8,August,3,1,Friday
2003-09-21,146,2003,9,September,3,21,Sunday
2004-02-10,147,2004,2,February,1,10,Tuesday
2005-05-03,148,2005,5,May,2,3,Tuesday
2004-04-12,149,2004,4,April,2,12,Monday
2004-08-04,150,2004,8,August,3,4,Wednesday
2005-04-14,151,2005,4,April,2,14,Thursday
2003-03-10,152,2003,3,March,1,10,Monday
2003-07-04,153,2003,7,July,3,4,Friday
2003-09-11,154,2003,9,September,3,11,Thursday
2003-10-17,155,2003,10,October,4,17,Friday
2003-11-05,156,2003,11,November,4,5,Wednesday
2004-04-13,157,2004,4,April,2,13,Tuesday
2004-08-06,158,2004,8,August,3,6,Friday
2003-10-05,159,2003,10,October,4,5,Sunday
2004-11-17,160,2004,11,November,4,17,Wednesday
2004-12-09,161,2004,12,December,4,9,Thursday
2005-01-07,162,2005,1,January,1,7,Friday
2005-03-04,163,2005,3,March,1,4,Friday
2005-04-15,164,2005,4,April,2,15,Friday
2003-01-10,165,2003,1,January,1,10,Friday
2003-03-25,166,2003,3,March,1,25,Tuesday
2003-05-21,167,2003,5,May,2,21,Wednesday
2003-07-16,168,2003,7,July,3,16,Wednesday
2003-09-12,169,2003,9,September,3,12,Friday
2003-10-18,170,2003,10,October,4,18,Saturday
2003-11-21,171,2003,11,November,4,21,Friday
2003-12-03,172,2003,12,December,4,3,Wednesday
2004-03-02,173,2004,3,March,1,2,Tuesday
2004-04-29,174,2004,4,April,2,29,Thursday
2004-06-08,175,2004,6,June,2,8,Tuesday
2004-09-03,176,2004,9,September,3,3,Friday
2005-02-16,177,2005,2,February,1,16,Wednesday
2005-05-30,178,2005,5,May,2,30,Monday
2003-03-18,179,2003,3,March,1,18,Tuesday
2003-05-20,180,2003,5,May,2,20,Tuesday
2003-07-10,181,2003,7,July,3,10,Thursday
2004-02-26,182,2004,2,February,1,26,Thursday
2004-09-01,183,2004,9,September,3,1,Wednesday
2005-01-12,184,2005,1,January,1,12,Wednesday
2005-02-10,185,2005,2,February,1,10,Thursday
2005-04-22,186,2005,4,April,2,22,Friday
2003-02-17,187,2003,2,February,1,17,Monday
2003-06-16,188,2003,6,June,2,16,Monday
2003-11-27,189,2003,11,November,4,27,Thursday
2004-05-11,190,2004,5,May,2,11,Tuesday
2004-06-24,191,2004,6,June,2,24,Thursday
2004-08-21,192,2004,8,August,3,21,Saturday
2004-09-15,193,2004,9,September,3,15,Wednesday
2004-11-10,194,2004,11,November,4,10,Wednesday
2004-11-22,195,2004,11,November,4,22,Monday
2004-12-03,196,2004,12,December,4,3,Friday
2005-03-01,197,2005,3,March,1,1,Tuesday
2005-03-30,198,2005,3,March,1,30,Wednesday
2005-05-10,199,2005,5,May,2,10,Tuesday
2003-01-06,200,2003,1,January,1,6,Monday
2004-01-26,201,2004,1,January,1,26,Monday
2004-11-25,202,2004,11,November,4,25,Thursday
2005-05-29,203,2005,5,May,2,29,Sunday
2005-01-10,204,2005,1,January,1,10,Monday
2004-10-06,205,2004,10,October,4,6,Wednesday
2005-02-22,206,2005,2,February,1,22,Tuesday
2003-01-09,207,2003,1,January,1,9,Thursday
2004-04-26,208,2004,4,April,2,26,Monday
2005-04-23,209,2005,4,April,2,23,Saturday
2003-06-27,210,2003,6,June,2,27,Friday
2004-04-02,211,2004,4,April,2,2,Friday
2004-09-16,212,2004,9,September,3,16,Thursday
2004-12-04,213,2004,12,December,4,4,Saturday
2005-04-03,214,2005,4,April,2,3,Sunday
2004-06-04,215,2004,6,June,2,4,Friday
2004-06-14,216,2004,6,June,2,14,Monday
2004-07-16,217,2004,7,July,3,16,Friday
2005-03-10,218,2005,3,March,1,10,Thursday
2003-06-06,219,2003,6,June,2,6,Friday
2003-11-07,220,2003,11,November,4,7,Friday
2004-02-18,221,2004,2,February,1,18,Wednesday
2004-03-20,222,2004,3,March,1,20,Saturday
2005-03-15,223,2005,3,March,1,15,Tuesday
2004-11-09,224,2004,11,November,4,9,Tuesday
2004-05-26,225,2004,5,May,2,26,Wednesday
2004-07-02,226,2004,7,July,3,2,Friday
2004-09-07,227,2004,9,September,3,7,Tuesday
2004-11-16,228,2004,11,November,4,16,Tuesday
2004-12-07,229,2004,12,December,4,7,Tuesday
2003-09-03,230,2003,9,September,3,3,Wednesday
2004-06-30,231,2004,6,June,2,30,Wednesday
2004-08-28,232,2004,8,August,3,28,Saturday
2004-05-08,233,2004,5,May,2,8,Saturday
2004-11-12,234,2004,11,November,4,12,Friday
2005-05-09,235,2005,5,May,2,9,Monday
2003-09-25,236,2003,9,September,3,25,Thursday
2004-01-22,237,2004,1,January,1,22,Thursday
2004-10-29,238,2004,10,October,4,29,Friday
2004-07-07,239,2004,7,July,3,7,Wednesday
2004-08-09,240,2004,8,August,3,9,Monday
2003-11-19,241,2003,11,November,4,19,Wednesday
2005-01-19,242,2005,1,January,1,19,Wednesday
2003-10-02,243,2003,10,October,4,2,Thursday
2004-03-29,244,2004,3,March,1,29,Monday
2005-02-28,245,2005,2,February,1,28,Monday
2004-04-20,246,2004,4,April,2,20,Tuesday
2005-03-02,247,2005,3,March,1,2,Wednesday
2003-04-11,248,2003,4,April,2,11,Friday
2003-08-13,249,2003,8,August,3,13,Wednesday
2003-10-08,250,2003,10,October,4,8,Wednesday
2005-03-28,251,2005,3,March,1,28,Monday
2003-04-21,252,2003,4,April,2,21,Monday
